order_id,customer_name,product,quantity,unit_price,order_date,region,total_price,customer_tier,purchase_day
52,Bob,Laptop,3.0,250.0,2024-01-24,North,750.0,Silver,Wednesday
53,Bob,Phone,1.0,750.0,2024-04-02,West,750.0,Silver,Tuesday
54,Alice,Tablet,1.0,750.0,2024-04-22,Not Specified,750.0,Silver,Monday
55,Bob,Tablet,1.0,250.0,2024-02-15,North,250.0,Bronze,Thursday
56,Eve,Phone,1.9589041095890412,250.0,2024-02-22,South,489.7260273972603,Bronze,Thursday
57,Bob,Tablet,1.0,750.0,2024-04-04,South,750.0,Silver,Thursday
58,Diana,Tablet,3.0,750.0,2024-04-08,North,2250.0,Gold,Monday
59,Diana,Laptop,1.0,250.0,2024-02-29,South,250.0,Bronze,Thursday
60,Diana,Tablet,2.0,500.0,2024-04-06,North,1000.0,Silver,Saturday
61,Diana,Tablet,2.0,750.0,2024-04-25,Not Specified,1500.0,Gold,Thursday
62,Eve,Phone,1.9589041095890412,625.0,2024-03-03,Not Specified,1224.3150684931506,Gold,Sunday
63,Charlie,Phone,2.0,625.0,2024-03-25,North,1250.0,Gold,Monday
64,Frank,Monitor,3.0,500.0,2024-02-01,Not Specified,1500.0,Gold,Thursday
65,Alice,Laptop,1.0,250.0,2024-03-27,Not Specified,250.0,Bronze,Wednesday
66,Diana,Tablet,1.9589041095890412,250.0,2024-02-02,Not Specified,489.7260273972603,Bronze,Friday
67,Bob,Tablet,1.0,500.0,2024-03-07,East,500.0,Bronze,Thursday
68,Diana,Monitor,1.0,500.0,2024-01-18,West,500.0,Bronze,Thursday
69,Bob,Tablet,3.0,750.0,2024-01-25,South,2250.0,Gold,Thursday
70,Frank,Laptop,2.0,250.0,2024-04-15,East,500.0,Bronze,Monday
71,Frank,Monitor,2.0,500.0,2024-04-04,Not Specified,1000.0,Silver,Thursday
72,Frank,Laptop,1.0,250.0,2024-02-23,North,250.0,Bronze,Friday
73,Bob,Monitor,1.9589041095890412,500.0,2024-02-27,Not Specified,979.4520547945206,Silver,Tuesday
74,Diana,Monitor,2.0,500.0,2024-03-07,West,1000.0,Silver,Thursday
75,Frank,Phone,1.9589041095890412,625.0,2024-04-13,Not Specified,1224.3150684931506,Gold,Saturday
76,Eve,Laptop,2.0,500.0,2024-02-15,North,1000.0,Silver,Thursday
77,Bob,Tablet,1.9589041095890412,750.0,2024-01-24,West,1469.178082191781,Gold,Wednesday
78,Bob,Tablet,3.0,500.0,2024-04-23,Not Specified,1500.0,Gold,Tuesday
79,Diana,Laptop,1.9589041095890412,500.0,2024-02-01,West,979.4520547945206,Silver,Thursday
80,Bob,Tablet,3.0,250.0,2024-02-16,South,750.0,Silver,Friday
81,Bob,Tablet,3.0,750.0,2024-03-26,South,2250.0,Gold,Tuesday
82,Frank,Laptop,1.9589041095890412,250.0,2024-01-23,Not Specified,489.7260273972603,Bronze,Tuesday
83,Diana,Monitor,3.0,250.0,2024-03-06,West,750.0,Silver,Wednesday
84,Frank,Laptop,1.0,500.0,2024-01-27,North,500.0,Bronze,Saturday
85,Frank,Monitor,3.0,500.0,2024-04-15,Not Specified,1500.0,Gold,Monday
86,Diana,Tablet,2.0,500.0,2024-01-02,South,1000.0,Silver,Tuesday
87,Alice,Tablet,1.9589041095890412,500.0,2024-03-30,South,979.4520547945206,Silver,Saturday
88,Frank,Tablet,1.0,500.0,2024-01-17,Not Specified,500.0,Bronze,Wednesday
89,Eve,Phone,1.9589041095890412,500.0,2024-04-13,West,979.4520547945206,Silver,Saturday
90,Eve,Monitor,2.0,750.0,2024-02-02,South,1500.0,Gold,Friday
91,Bob,Phone,2.0,625.0,2024-01-09,West,1250.0,Gold,Tuesday
92,Eve,Phone,2.0,250.0,2024-02-12,South,500.0,Bronze,Monday
93,Bob,Laptop,3.0,250.0,2024-04-27,South,750.0,Silver,Saturday
94,Alice,Phone,3.0,625.0,2024-02-17,East,1875.0,Gold,Saturday
95,Diana,Laptop,1.9589041095890412,250.0,2024-02-08,South,489.7260273972603,Bronze,Thursday
96,Diana,Laptop,1.9589041095890412,250.0,2024-04-02,North,489.7260273972603,Bronze,Tuesday
97,Diana,Phone,1.0,250.0,2024-02-11,Not Specified,250.0,Bronze,Sunday
98,Eve,Monitor,1.0,500.0,2024-04-28,Not Specified,500.0,Bronze,Sunday
99,Alice,Monitor,1.9589041095890412,250.0,2024-01-26,West,489.7260273972603,Bronze,Friday
100,Eve,Monitor,3.0,500.0,2024-04-08,South,1500.0,Gold,Monday
